dataset,backbone,direction,vector_type,margin_bin,flip_rate,n_vectors,n_dims,gt_protocol
mscoco,clip-b32,text2image,db,global,0.161360546875,5000,512,original_exact_ip
mscoco,clip-b32,text2image,db,q000_010,0.45203515625,5000,512,original_exact_ip
mscoco,clip-b32,text2image,db,q010_025,0.3381631818667139,5000,512,original_exact_ip
mscoco,clip-b32,text2image,db,q025_050,0.17960809313764553,5000,512,original_exact_ip
mscoco,clip-b32,text2image,db,q050_075,0.0647828125,5000,512,original_exact_ip
mscoco,clip-b32,text2image,db,q075_090,0.018940104166666666,5000,512,original_exact_ip
mscoco,clip-b32,text2image,query,global,0.1564625,5000,512,original_exact_ip
mscoco,clip-b32,text2image,query,q000_010,0.44435546875,5000,512,original_exact_ip
mscoco,clip-b32,text2image,query,q010_025,0.3216953125,5000,512,original_exact_ip
mscoco,clip-b32,text2image,query,q025_050,0.1667703125,5000,512,original_exact_ip
mscoco,clip-b32,text2image,query,q050_075,0.0548984375,5000,512,original_exact_ip
mscoco,clip-b32,text2image,query,q075_090,0.0186640625,5000,512,original_exact_ip
mscoco,clip-b32,image2text,db,global,0.15996015625,5000,512,original_exact_ip
mscoco,clip-b32,image2text,db,q000_010,0.4476015625,5000,512,original_exact_ip
mscoco,clip-b32,image2text,db,q010_025,0.33357552083333336,5000,512,original_exact_ip
mscoco,clip-b32,image2text,db,q025_050,0.17780625,5000,512,original_exact_ip
mscoco,clip-b32,image2text,db,q050_075,0.0638828125,5000,512,original_exact_ip
mscoco,clip-b32,image2text,db,q075_090,0.018856770833333335,5000,512,original_exact_ip
mscoco,clip-b32,image2text,query,global,0.16340078125,5000,512,original_exact_ip
mscoco,clip-b32,image2text,query,q000_010,0.4475703125,5000,512,original_exact_ip
mscoco,clip-b32,image2text,query,q010_025,0.3323541666666667,5000,512,original_exact_ip
mscoco,clip-b32,image2text,query,q025_050,0.1813359375,5000,512,original_exact_ip
mscoco,clip-b32,image2text,query,q050_075,0.064209375,5000,512,original_exact_ip
mscoco,clip-b32,image2text,query,q075_090,0.018908854166666666,5000,512,original_exact_ip
audiocaps,imagebind,text2audio,db,global,0.1420125141402715,884,1024,original_exact_ip
audiocaps,imagebind,text2audio,db,q000_010,0.44199200194427873,884,1024,original_exact_ip
audiocaps,imagebind,text2audio,db,q010_025,0.31809076313502527,884,1024,original_exact_ip
audiocaps,imagebind,text2audio,db,q025_050,0.15218025311085973,884,1024,original_exact_ip
audiocaps,imagebind,text2audio,db,q050_075,0.03893877262443439,884,1024,original_exact_ip
audiocaps,imagebind,text2audio,db,q075_090,0.011805688530143908,884,1024,original_exact_ip
audiocaps,imagebind,text2audio,query,global,0.15597196170724803,4415,1024,original_exact_ip
audiocaps,imagebind,text2audio,query,q000_010,0.4481304855605889,4415,1024,original_exact_ip
audiocaps,imagebind,text2audio,query,q010_025,0.3332581280671952,4415,1024,original_exact_ip
audiocaps,imagebind,text2audio,query,q025_050,0.17359144960362402,4415,1024,original_exact_ip
audiocaps,imagebind,text2audio,query,q050_075,0.05285603057757644,4415,1024,original_exact_ip
audiocaps,imagebind,text2audio,query,q075_090,0.019484062382030955,4415,1024,original_exact_ip
audiocaps,imagebind,audio2text,db,global,0.1774612029303511,4415,1024,original_exact_ip
audiocaps,imagebind,audio2text,db,q000_010,0.4548768403171008,4415,1024,original_exact_ip
audiocaps,imagebind,audio2text,db,q010_025,0.35566929737636843,4415,1024,original_exact_ip
audiocaps,imagebind,audio2text,db,q025_050,0.21023676387315968,4415,1024,original_exact_ip
audiocaps,imagebind,audio2text,db,q050_075,0.08055545724801812,4415,1024,original_exact_ip
audiocaps,imagebind,audio2text,db,q075_090,0.0253751041443939,4415,1024,original_exact_ip
audiocaps,imagebind,audio2text,query,global,0.15909352022058823,884,1024,original_exact_ip
audiocaps,imagebind,audio2text,query,q000_010,0.4477696029694439,884,1024,original_exact_ip
audiocaps,imagebind,audio2text,query,q010_025,0.3393380565907116,884,1024,original_exact_ip
audiocaps,imagebind,audio2text,query,q025_050,0.18162736849547512,884,1024,original_exact_ip
audiocaps,imagebind,audio2text,query,q050_075,0.055725926187782805,884,1024,original_exact_ip
audiocaps,imagebind,audio2text,query,q075_090,0.017388166325433416,884,1024,original_exact_ip
