method,alpha,nprobe,direction,r1,r10,r100,seed
ivfpq,0.0,16,text->image,0.2848,0.3877,0.5448,42
opq_ivfpq,0.0,16,text->image,0.3888,0.5016,0.6119,42
ivfpq,0.25,16,text->image,0.3056,0.4469,0.592,42
opq_ivfpq,0.25,16,text->image,0.3124,0.4588,0.6097,42
ivfpq,0.5,16,text->image,0.3232,0.4683,0.6121,42
opq_ivfpq,0.5,16,text->image,0.338,0.491,0.6364,42
ivfpq,0.75,16,text->image,0.3432,0.4879,0.6277,42
opq_ivfpq,0.75,16,text->image,0.3672,0.5102,0.651,42
ivfpq,1.0,16,text->image,0.3622,0.4962,0.6339,42
opq_ivfpq,1.0,16,text->image,0.3972,0.5282,0.6609,42
ivfpq,0.0,16,image->text,0.2226,0.3143,0.4956,42
opq_ivfpq,0.0,16,image->text,0.4236,0.5315,0.6699,42
ivfpq,0.25,16,image->text,0.2696,0.4192,0.6066,42
opq_ivfpq,0.25,16,image->text,0.2518,0.4087,0.5972,42
ivfpq,0.5,16,image->text,0.2998,0.4465,0.6209,42
opq_ivfpq,0.5,16,image->text,0.283,0.4417,0.6294,42
ivfpq,0.75,16,image->text,0.3172,0.4666,0.638,42
opq_ivfpq,0.75,16,image->text,0.3118,0.4701,0.6555,42
ivfpq,1.0,16,image->text,0.3292,0.4744,0.6435,42
opq_ivfpq,1.0,16,image->text,0.3294,0.4861,0.6655,42
