method,alpha,nprobe,direction,r1,r10,r100,nn_r10,nn_r100,qps,bytes_per_vec,n_vectors,d,seed
vanilla_rabitq,0.0,1,text->image,0.3794,0.4715,0.4887,0.6818,0.7394,42117.1,136,5000,1024,42
vanilla_rabitq,0.0,2,text->image,0.4418,0.5305,0.6053,0.8008,0.8844,22255.7,136,5000,1024,42
vanilla_rabitq,0.0,4,text->image,0.4596,0.5479,0.6501,0.8482,0.9424,11983.3,136,5000,1024,42
vanilla_rabitq,0.0,8,text->image,0.4696,0.5546,0.661,0.869,0.9738,5809.6,136,5000,1024,42
vanilla_rabitq,0.0,16,text->image,0.472,0.5564,0.6636,0.8766,0.9878,2990.8,136,5000,1024,42
vanilla_rabitq,0.0,32,text->image,0.4698,0.5555,0.6648,0.8792,0.9922,1531.9,136,5000,1024,42
vanilla_rabitq,0.0,64,text->image,0.4698,0.5549,0.6655,0.8802,0.993,766.8,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,1,text->image,0.3624,0.4489,0.4873,0.6582,0.756,42063.5,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,2,text->image,0.4172,0.4922,0.5898,0.7682,0.8968,22589.0,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,4,text->image,0.4354,0.5063,0.6203,0.8066,0.9498,11895.7,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,8,text->image,0.44,0.5088,0.6224,0.8216,0.9742,6030.4,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,16,text->image,0.4406,0.508,0.6181,0.8234,0.9812,3045.0,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,32,text->image,0.439,0.5065,0.6151,0.8244,0.9846,1524.8,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,64,text->image,0.44,0.5052,0.6133,0.8224,0.9836,751.4,136,5000,1024,42
pmc_1.00,1.0,1,text->image,0.44,0.5308,0.4899,0.722,0.7574,42314.4,136,5000,1024,42
pmc_1.00,1.0,2,text->image,0.51,0.5987,0.6262,0.8528,0.8998,21752.9,136,5000,1024,42
pmc_1.00,1.0,4,text->image,0.534,0.6217,0.7031,0.9028,0.9564,11904.8,136,5000,1024,42
pmc_1.00,1.0,8,text->image,0.5424,0.6297,0.7348,0.9234,0.9836,6004.1,136,5000,1024,42
pmc_1.00,1.0,16,text->image,0.5452,0.6303,0.7445,0.9318,0.9954,3054.6,136,5000,1024,42
pmc_1.00,1.0,32,text->image,0.5442,0.6303,0.7469,0.9316,0.9978,1516.9,136,5000,1024,42
pmc_1.00,1.0,64,text->image,0.5432,0.6293,0.7469,0.9324,0.9986,756.0,136,5000,1024,42
ivfpq_meanshift_64B,0.0,1,text->image,0.403,0.4839,0.4765,0.6936,0.7436,26832.1,64,5000,1024,42
ivfpq_meanshift_64B,0.0,2,text->image,0.4666,0.5424,0.592,0.8128,0.8858,24006.0,64,5000,1024,42
ivfpq_meanshift_64B,0.0,4,text->image,0.4892,0.564,0.6436,0.8556,0.9426,20622.9,64,5000,1024,42
ivfpq_meanshift_64B,0.0,8,text->image,0.4992,0.5734,0.6712,0.8784,0.9738,16586.3,64,5000,1024,42
ivfpq_meanshift_64B,0.0,16,text->image,0.5016,0.5773,0.6845,0.8878,0.9888,12028.6,64,5000,1024,42
ivfpq_meanshift_64B,0.0,32,text->image,0.5026,0.5786,0.6899,0.8908,0.994,7738.5,64,5000,1024,42
ivfpq_meanshift_64B,0.0,64,text->image,0.5026,0.5787,0.691,0.8912,0.995,4590.8,64,5000,1024,42
vanilla_rabitq,0.0,1,image->text,0.357,0.4953,0.4897,0.714,0.7672,42383.5,136,5000,1024,42
vanilla_rabitq,0.0,2,image->text,0.4062,0.5459,0.6222,0.827,0.896,22515.9,136,5000,1024,42
vanilla_rabitq,0.0,4,image->text,0.4266,0.5612,0.681,0.878,0.9578,11884.7,136,5000,1024,42
vanilla_rabitq,0.0,8,image->text,0.429,0.5606,0.7022,0.8966,0.9828,5984.1,136,5000,1024,42
vanilla_rabitq,0.0,16,image->text,0.4272,0.5558,0.7034,0.8992,0.9902,2957.5,136,5000,1024,42
vanilla_rabitq,0.0,32,image->text,0.4222,0.5493,0.6934,0.899,0.9928,1524.2,136,5000,1024,42
vanilla_rabitq,0.0,64,image->text,0.4204,0.5427,0.6805,0.8976,0.9938,751.6,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,1,image->text,0.3496,0.4692,0.4844,0.6628,0.766,42589.7,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,2,image->text,0.4032,0.5155,0.6016,0.7656,0.8922,22564.5,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,4,image->text,0.4298,0.5352,0.6433,0.8152,0.9546,11825.3,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,8,image->text,0.434,0.5404,0.657,0.8306,0.9776,5954.0,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,16,image->text,0.4338,0.5413,0.66,0.8348,0.9848,3013.1,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,32,image->text,0.4336,0.5405,0.6604,0.8356,0.9876,1516.7,136,5000,1024,42
vanilla_rabitq_meanshift,0.0,64,image->text,0.4342,0.5403,0.6597,0.8362,0.9886,752.4,136,5000,1024,42
pmc_1.00,1.0,1,image->text,0.4222,0.5494,0.4967,0.7246,0.7686,42167.3,136,5000,1024,42
pmc_1.00,1.0,2,image->text,0.4756,0.6043,0.6269,0.828,0.8868,22554.7,136,5000,1024,42
pmc_1.00,1.0,4,image->text,0.5034,0.6269,0.7033,0.8822,0.9522,11715.9,136,5000,1024,42
pmc_1.00,1.0,8,image->text,0.51,0.634,0.7369,0.907,0.9838,5960.5,136,5000,1024,42
pmc_1.00,1.0,16,image->text,0.5104,0.635,0.7494,0.9128,0.992,3016.1,136,5000,1024,42
pmc_1.00,1.0,32,image->text,0.5092,0.6336,0.7501,0.9146,0.9946,1515.6,136,5000,1024,42
pmc_1.00,1.0,64,image->text,0.5084,0.6316,0.7449,0.9136,0.995,762.2,136,5000,1024,42
ivfpq_meanshift_64B,0.0,1,image->text,0.3628,0.4469,0.4632,0.6496,0.7362,27225.2,64,5000,1024,42
ivfpq_meanshift_64B,0.0,2,image->text,0.4178,0.5031,0.5779,0.7604,0.8682,24172.5,64,5000,1024,42
ivfpq_meanshift_64B,0.0,4,image->text,0.4452,0.5268,0.6245,0.8178,0.9398,20788.1,64,5000,1024,42
ivfpq_meanshift_64B,0.0,8,image->text,0.454,0.5364,0.6494,0.8402,0.9722,16551.0,64,5000,1024,42
ivfpq_meanshift_64B,0.0,16,image->text,0.4558,0.5392,0.6624,0.8476,0.983,12026.8,64,5000,1024,42
ivfpq_meanshift_64B,0.0,32,image->text,0.4562,0.5401,0.6669,0.848,0.985,7814.2,64,5000,1024,42
ivfpq_meanshift_64B,0.0,64,image->text,0.4562,0.5401,0.6675,0.8482,0.9856,4522.2,64,5000,1024,42
