dataset,backbone,direction,top_p_percent,r10,r100,gt_protocol,gap_norm,gap_energy_captured
mscoco,clip-b32,t2i,0,0.41806,0.573398,original_ip,7.708484,0.0
mscoco,clip-b32,t2i,5,0.5121,0.664084,original_ip,7.708484,0.865515
mscoco,clip-b32,t2i,10,0.5083,0.661886,original_ip,7.708484,0.901499
mscoco,clip-b32,t2i,20,0.505,0.658566,original_ip,7.708484,0.943132
mscoco,clip-b32,t2i,50,0.4937,0.65089,original_ip,7.708484,0.98981
mscoco,clip-b32,t2i,100,0.48806,0.648228,original_ip,7.708484,1.0
mscoco,clip-b32,i2t,0,0.2653,0.511158,original_ip,7.708484,0.0
mscoco,clip-b32,i2t,5,0.49512,0.677598,original_ip,7.708484,0.865515
mscoco,clip-b32,i2t,10,0.4953,0.679662,original_ip,7.708484,0.901499
mscoco,clip-b32,i2t,20,0.50566,0.682666,original_ip,7.708484,0.943132
mscoco,clip-b32,i2t,50,0.50886,0.683852,original_ip,7.708484,0.98981
mscoco,clip-b32,i2t,100,0.51098,0.682698,original_ip,7.708484,1.0
audiocaps,imagebind,t2a,0,0.72718,0.777828,original_ip,57.09034,0.0
audiocaps,imagebind,t2a,5,0.722582,0.770204,original_ip,57.09034,0.595694
audiocaps,imagebind,t2a,10,0.716716,0.766428,original_ip,57.09034,0.697195
audiocaps,imagebind,t2a,20,0.709241,0.761719,original_ip,57.09034,0.818447
audiocaps,imagebind,t2a,50,0.691642,0.738045,original_ip,57.09034,0.960867
audiocaps,imagebind,t2a,100,0.686931,0.733422,original_ip,57.09034,1.0
audiocaps,imagebind,a2t,0,0.483145,0.681109,original_ip,57.09034,0.0
audiocaps,imagebind,a2t,5,0.577036,0.745837,original_ip,57.09034,0.595694
audiocaps,imagebind,a2t,10,0.586765,0.748484,original_ip,57.09034,0.697195
audiocaps,imagebind,a2t,20,0.590385,0.754186,original_ip,57.09034,0.818447
audiocaps,imagebind,a2t,50,0.596606,0.756131,original_ip,57.09034,0.960867
audiocaps,imagebind,a2t,100,0.590271,0.756403,original_ip,57.09034,1.0
flickr30k,clip-b32,t2i,0,0.49,0.59049,original_ip,7.139937,0.0
flickr30k,clip-b32,t2i,5,0.5344,0.60661,original_ip,7.139937,0.829121
flickr30k,clip-b32,t2i,10,0.5395,0.6094,original_ip,7.139937,0.870682
flickr30k,clip-b32,t2i,20,0.5423,0.6062,original_ip,7.139937,0.923959
flickr30k,clip-b32,t2i,50,0.5353,0.59874,original_ip,7.139937,0.986714
flickr30k,clip-b32,t2i,100,0.5318,0.59875,original_ip,7.139937,1.0
flickr30k,clip-b32,i2t,0,0.4346,0.55757,original_ip,7.139937,0.0
flickr30k,clip-b32,i2t,5,0.5408,0.57012,original_ip,7.139937,0.829121
flickr30k,clip-b32,i2t,10,0.5408,0.56739,original_ip,7.139937,0.870682
flickr30k,clip-b32,i2t,20,0.5428,0.56361,original_ip,7.139937,0.923959
flickr30k,clip-b32,i2t,50,0.5414,0.56021,original_ip,7.139937,0.986714
flickr30k,clip-b32,i2t,100,0.5387,0.55737,original_ip,7.139937,1.0
clotho,imagebind,t2a,0,0.737608,0.793033,original_ip,54.753555,0.0
clotho,imagebind,t2a,5,0.726699,0.782469,original_ip,54.753555,0.610801
clotho,imagebind,t2a,10,0.721244,0.780632,original_ip,54.753555,0.710413
clotho,imagebind,t2a,20,0.718852,0.781742,original_ip,54.753555,0.831289
clotho,imagebind,t2a,50,0.704211,0.77756,original_ip,54.753555,0.969285
clotho,imagebind,t2a,100,0.700766,0.776124,original_ip,54.753555,1.0
clotho,imagebind,a2t,0,0.647177,0.75799,original_ip,54.753555,0.0
clotho,imagebind,a2t,5,0.711579,0.788823,original_ip,54.753555,0.610801
clotho,imagebind,a2t,10,0.720574,0.790967,original_ip,54.753555,0.710413
clotho,imagebind,a2t,20,0.718756,0.793636,original_ip,54.753555,0.831289
clotho,imagebind,a2t,50,0.710526,0.792105,original_ip,54.753555,0.969285
clotho,imagebind,a2t,100,0.708134,0.792785,original_ip,54.753555,1.0
